Scene_Number,Image_Filename,Duration,Voiceover_ZH,Image_Prompt_EN_Full,Image_Prompt_ZH_Full,Motion_Prompt_EN,Motion_Prompt_ZH
11,scene_11.png,8 秒 (80 - 88秒),長途出遊時，AI 推薦最順路的快充節奏。喝一杯咖啡的時間，電量已悄悄補足。,"A clean modern U-POWER charging station in Taiwan, a professional driver plugging a CCS1 charging cable into the front-left port of a black bZ4X. Sleek cinematic lighting, premium dark tech theme, electric blue and emerald green neon highlights, hyper-realistic, professional color grading, shot on 35mm anamorphic lens.",台灣一個乾淨現代的 U-POWER 超高速充電站，一位專業司機正將 CCS1 充電槍插入黑色 bZ4X 的左前葉子板充電孔中。。極具質感的電影級光影、高階暗色科技主題、電光藍與翡翠綠的霓虹高光、極致寫實、專業色彩分級、35mm 變形鏡頭拍攝。,"Slow tracking shot of the driver plugging in the charger, daytime bright lighting.",慢速跟隨鏡頭，捕捉司機插入充電槍的動作，白日明亮溫暖的光線。
12,scene_12.png,8 秒 (88 - 96秒),CCS1 雙槍快充最大支援 150kW，半小時內補足 80% 電量，出遊行程毫無延誤。,"The 12.3-inch Toyota Drive+ Link screen inside the bZ4X displaying a charging progress bar at 80%, with a high-tech charging animation. Sleek cinematic lighting, premium dark tech theme, electric blue and emerald green neon highlights, hyper-realistic, professional color grading, shot on 35mm anamorphic lens.",bZ4X 車內搭載的 12.3 吋 Toyota Drive+ Link 大螢幕，顯示著 80% 的充電進度條，並帶有科技感的充電動能動畫。。極具質感的電影級光影、高階暗色科技主題、電光藍與翡翠綠的霓虹高光、極致寫實、專業色彩分級、35mm 變形鏡頭拍攝。,"Camera pushes in slowly on the screen, showing the charging percentage count up smoothly.",鏡頭緩慢向螢幕推近，顯示充電百分比流暢地向上遞增。
13,scene_13.png,8 秒 (96 - 104秒),AI 顧問會瞬間洞察您的情緒，識別您的購車角色，給予最懂您的共情解答。,"A smartphone displaying a LINE chat window with a warm conversational response from TOYOTA AI, showing a glowing purple badge ""AI 購車領航員: 守護家人的滿分爸爸"". Sleek cinematic lighting, premium dark tech theme, electric blue and emerald green neon highlights, hyper-realistic, professional color grading, shot on 35mm anamorphic lens.",智慧型手機螢幕上顯示著 LINE 對話視窗，TOYOTA AI 顧問回覆了溫暖的文字，對話框上方亮起紫色發光標籤「AI 購車領航員: 滿分爸爸」。。極具質感的電影級光影、高階暗色科技主題、電光藍與翡翠綠的霓虹高光、極致寫實、專業色彩分級、35mm 變形鏡頭拍攝。,"Text typing animation on the screen, smooth scroll up.",螢幕上文字逐字打出的打字動畫，伴隨畫面平滑向上滾動。
14,scene_14.png,8 秒 (104 - 112秒),面對電池疑慮，我們提供 8 年 16 萬公里超長保固，源自豐田 25 年電池零事故的安全底蘊。,"A high-tech 3D transparent cutaway of the TOYOTA bZ4X chassis, highlighting the heavily protected under-floor battery pack structure with a golden stamp ""8 Years Warranty"". Sleek cinematic lighting, premium dark tech theme, electric blue and emerald green neon highlights, hyper-realistic, professional color grading, shot on 35mm anamorphic lens.",TOYOTA bZ4X 底盤的高科技 3D 透明透視圖，突出顯示車底下受到重重鋼樑保護的電池模組結構，上方蓋有金色的「8年保固」印章。。極具質感的電影級光影、高階暗色科技主題、電光藍與翡翠綠的霓虹高光、極致寫實、專業色彩分級、35mm 變形鏡頭拍攝。,"3D rotation of the chassis, showing the steel protection beams around the battery module.",底盤進行 3D 環繞旋轉，展示圍繞電池模組的高剛性鋼防護樑。
15,scene_15.png,8 秒 (112 - 120秒),因為掛著 TOYOTA 廠徽，結合和泰官方二手中古車托底機制，這台車就是電車界的保值金字招牌。,"A bright professional Toyota Certified Pre-Owned showroom in Taiwan, clean cars reflecting sunlight, with a prominent Hotai Motor logo. Sleek cinematic lighting, premium dark tech theme, electric blue and emerald green neon highlights, hyper-realistic, professional color grading, shot on 35mm anamorphic lens.",台灣一個明亮且專業的 Toyota 認證中古車展間，乾淨的車輛折射著陽光，後方有顯眼的和泰汽車標誌。。極具質感的電影級光影、高階暗色科技主題、電光藍與翡翠綠的霓虹高光、極致寫實、專業色彩分級、35mm 變形鏡頭拍攝。,"Slow cinematic pan across the premium showroom, warm and trustworthy lighting.",鏡頭以電影級速度緩慢橫向掃過高品質展間，呈現溫暖且值得信賴的光影。
16,scene_16.png,8 秒 (120 - 128秒),結合和泰產險專屬新能源車險，與長期的稅金全免優勢，幫您把每一步成本降到最低。,"A modern office building with the ""Hotai Insurance"" logo, a smartphone in the foreground showing a digital EV insurance policy document. Sleek cinematic lighting, premium dark tech theme, electric blue and emerald green neon highlights, hyper-realistic, professional color grading, shot on 35mm anamorphic lens.",一棟印有「和泰產險」標誌的現代辦公大樓，前景是一支智慧型手機，螢幕上顯示著電子新能源車險保單。。極具質感的電影級光影、高階暗色科技主題、電光藍與翡翠綠的霓虹高光、極致寫實、專業色彩分級、35mm 變形鏡頭拍攝。,Focus shift from the building to the smartphone screen.,變焦運鏡，將視覺焦點從遠處的大樓，平滑轉移到前景的手機保單螢幕上。
17,scene_17.png,8 秒 (128 - 136秒),滿意您的模擬方案嗎？一鍵生成您的 EV Pilot Pass，開啟您的專屬純電體驗。,"A luxury virtual ticket named ""EV Pilot Pass"" on a smartphone screen, glowing with blue and violet neon borders, displaying a QR code and customer profile details. Sleek cinematic lighting, premium dark tech theme, electric blue and emerald green neon highlights, hyper-realistic, professional color grading, shot on 35mm anamorphic lens.",智慧型手機螢幕上顯示一張名為「EV Pilot Pass」的奢華虛擬票券，散發著電光藍與紫色的霓虹發光邊框，上面顯示著一個 QR Code 與客製化的車主資訊。。極具質感的電影級光影、高階暗色科技主題、電光藍與翡翠綠的霓虹高光、極致寫實、專業色彩分級、35mm 變形鏡頭拍攝。,Subtle tilt of the smartphone showing the holographic neon reflections on the virtual pass.,手機輕微傾斜，展現出虛擬票券表面細緻的全像（Holographic）霓虹反光。
18,scene_18.png,8 秒 (136 - 144秒),抵達實體展間時，業務掃描條碼，您的用車習慣與關切焦點已瞬間同步至業務平板。,"A polite professional TOYOTA sales consultant in a suit, smiling and scanning the QR Code on a customer's phone using a tablet in a bright showroom. Sleek cinematic lighting, premium dark tech theme, electric blue and emerald green neon highlights, hyper-realistic, professional color grading, shot on 35mm anamorphic lens.",一位身穿西裝、專業禮貌的 TOYOTA 銷售顧問，在明亮的展間中面帶微笑，用平板電腦掃描顧客手機上的體驗券 QR Code。。極具質感的電影級光影、高階暗色科技主題、電光藍與翡翠綠的霓虹高光、極致寫實、專業色彩分級、35mm 變形鏡頭拍攝。,"Slow dolly shot, the tablet screen flashes green indicating a successful scan and synchronizing data.",慢速推軌鏡頭，業務的平板螢幕閃過綠光，顯示掃描成功並開始同步數據的動畫。
19,scene_19.png,8 秒 (144 - 152秒),免去多餘的贅述，業務將針對您最在乎的後座舒適與安全性，提供最客製化的精準解說。,"Inside the bZ4X, the consultant pointing to the spacious rear legroom and panoramic moonroof, a happy family looking delighted. Sleek cinematic lighting, premium dark tech theme, electric blue and emerald green neon highlights, hyper-realistic, professional color grading, shot on 35mm anamorphic lens.",bZ4X 車廂內部，業務指向極為寬敞的後座膝部空間與全景天窗，一旁坐在後座的幸福家庭流露出驚喜與開心的笑容。。極具質感的電影級光影、高階暗色科技主題、電光藍與翡翠綠的霓虹高光、極致寫實、專業色彩分級、35mm 變形鏡頭拍攝。,Slow zoom out showing the happy family enjoying the spacious back seats under the moonroof.,鏡頭緩慢向後拉遠，呈現出全家人在寬敞天窗下享受舒適後座空間的溫馨全景。
20,scene_20.png,8 秒 (152 - 160秒),我們已規劃好三階段路線圖，未來將輕鬆擴充至 PHEV 及 TOYOTA 全車系電動車款。,"A high-tech digital timeline showing three phases: Phase 1 MVP, Phase 2 O2O integration, Phase 3 Scale Up to PHEV and Lexus, with futuristic glowing nodes. Sleek cinematic lighting, premium dark tech theme, electric blue and emerald green neon highlights, hyper-realistic, professional color grading, shot on 35mm anamorphic lens.",高科技數位時間軸，展示三階段實施時程：Phase 1 MVP、Phase 2 O2O 整合、Phase 3 擴充至 PHEV 與 Lexus 車系，帶有未來感的光影節點。。極具質感的電影級光影、高階暗色科技主題、電光藍與翡翠綠的霓虹高光、極致寫實、專業色彩分級、35mm 變形鏡頭拍攝。,"Smooth horizontal scroll along the timeline, highlighting each phase with a neon pulse.",鏡頭沿著時間軸平滑地橫向滾動，每個時程節點亮起霓虹脈衝光芒。
21,scene_21.png,8 秒 (160 - 168秒),基於領先的開源 LLM、FastAPI 後端與和泰大數據，這是一套兼具技術先進性與商用落地的系統。,"A clean system architecture diagram with glowing logos of FastAPI, Llama-3, Azure OpenAI, and Milvus, connected by glowing data streams on a dark grid. Sleek cinematic lighting, premium dark tech theme, electric blue and emerald green neon highlights, hyper-realistic, professional color grading, shot on 35mm anamorphic lens.",精美的系統架構圖，印有發光的 FastAPI、Llama-3、Azure OpenAI 與 Milvus 標誌，在黑色網格背景下由發光的數據流線條連接。。極具質感的電影級光影、高階暗色科技主題、電光藍與翡翠綠的霓虹高光、極致寫實、專業色彩分級、35mm 變形鏡頭拍攝。,"Data streams pulsing and flowing along the connection lines, creating a powerful tech feel.",數據流沿著連接線路脈動與流動，展現強大的硬核技術運作感。
22,scene_22.png,6 秒 (168 - 174秒),買下 TOYOTA bZ4X，不只是一次精明的消費，更是全家人美好純電生活的開始。,"A happy family waving from the windows of a black TOYOTA bZ4X driving smoothly along a beautiful sunny Taiwanese coastal highway, ocean breeze blowing. Sleek cinematic lighting, premium dark tech theme, electric blue and emerald green neon highlights, hyper-realistic, professional color grading, shot on 35mm anamorphic lens.",陽光明媚的台灣海岸公路旁，全家人開心地從行駛中的黑色 bZ4X 車窗探出頭揮手，海風吹拂，波光粼粼。。極具質感的電影級光影、高階暗色科技主題、電光藍與翡翠綠的霓虹高光、極致寫實、專業色彩分級、35mm 變形鏡頭拍攝。,"Cinematic drone tracking shot following the car along the beautiful coast, bright and uplifting colors.",電影級空拍機追焦鏡頭，跟隨車輛沿著美麗的海岸公路前行，色彩明亮且充滿朝氣。
23,scene_23.png,6 秒 (174 - 180秒),用 AI 賦能轉型，用共情引領未來。我們是 Team Nexus，謝謝大家。,"A minimalist dark background with a glowing ""TOYOTA EV LifePilot"" logo in the center, and text ""和泰 2026 AI 黑客松 | AI Team Nexus"" below. Sleek cinematic lighting, premium dark tech theme, electric blue and emerald green neon highlights, hyper-realistic, professional color grading, shot on 35mm anamorphic lens.",極簡的暗色調背景，中央浮現發光的「TOYOTA EV LifePilot」標誌，下方印有文字「和泰 2026 AI 黑客松 | AI Team Nexus 敬呈」。。極具質感的電影級光影、高階暗色科技主題、電光藍與翡翠綠的霓虹高光、極致寫實、專業色彩分級、35mm 變形鏡頭拍攝。,"Slow camera pull back, subtle blue particles rising and fading away, creating a lasting premium impression.",鏡頭緩慢向後拉遠，微弱的發光藍色粒子在背景升騰並逐漸消逝，留下深刻的質感餘韻。
